technology,airbending,source,DataManager@27.03.2019 13:31:39
@data
material,sheetThicknessMM,punchRadiusMM,dieWidthMM,angleDEG,bendDeductionTanMM,bendDeductionEdgeMM,radiusMM
AlMg3,0.5,0.2,5,74.2,-1.768,-0.673,0.8
AlMg3,0.5,0.2,5,75,-1.726,-0.691,0.8
AlMg3,0.5,0.2,5,83.2,-1.386,-0.89,0.8
AlMg3,0.5,0.2,5,90,-1.2,-1.2,0.8
AlMg3,0.5,0.2,5,91.9,-1.123,0,0.8
AlMg3,0.5,0.2,5,103.2,-0.837,0,1
AlMg3,0.5,0.2,5,105,-0.811,0,1
AlMg3,0.5,0.2,5,114.2,-0.623,0,1.1
AlMg3,0.5,0.2,5,120,-0.505,0,1.2
AlMg3,0.5,0.2,5,123.5,-0.472,0,1.2
AlMg3,0.5,0.2,5,135,-0.309,0,1.7
AlMg3,0.5,0.2,5,138.1,-0.3,0,1.7
AlMg3,0.5,0.2,5,150,-0.219,0,2.5
AlMg3,0.5,0.2,5,151.2,-0.179,0,2.6
AlMg3,0.5,0.2,5,165.7,-0.077,0,5.7
AlMg3,0.5,0.3,5,30,-8.342,0.151,0.7
AlMg3,0.5,0.3,5,31.9,-7.712,0.114,0.7
AlMg3,0.5,0.3,5,34.4,-6.967,0.071,0.7
AlMg3,0.5,0.3,5,38.3,-5.862,-0.005,0.7
AlMg3,0.5,0.3,5,42.6,-4.927,-0.086,0.7
AlMg3,0.5,0.3,5,45,-4.516,-0.13,0.7
AlMg3,0.5,0.3,5,47.5,-4.092,-0.176,0.7
AlMg3,0.5,0.3,5,53,-3.363,-0.276,0.7
AlMg3,0.5,0.3,5,59.1,-2.76,-0.385,0.7
AlMg3,0.5,0.3,5,60,-2.643,-0.401,0.7
AlMg3,0.5,0.3,5,66.1,-2.222,-0.514,0.7
AlMg3,0.5,0.3,5,74.2,-1.768,-0.673,0.8
AlMg3,0.5,0.3,5,75,-1.726,-0.691,0.8
AlMg3,0.5,0.3,5,83.2,-1.386,-0.89,0.8
AlMg3,0.5,0.3,5,90,-1.2,-1.2,0.8
AlMg3,0.5,0.3,5,91.9,-1.123,0,0.8
