technology,airbending,source,DataManager@27.03.2019 13:31:35
@data
material,sheetThicknessMM,punchRadiusMM,dieWidthMM,angleDEG,bendDeductionTanMM,bendDeductionEdgeMM,radiusMM
X5CrNi1810,0.5,0.2,4,30,-7.542,0.084,0.6
X5CrNi1810,0.5,0.2,4,31.79,-7.064,0.053,0.6
X5CrNi1810,0.5,0.2,4,34.8,-6.184,0.001,0.6
X5CrNi1810,0.5,0.2,4,38.6,-5.268,-0.065,0.6
X5CrNi1810,0.5,0.2,4,43.02,-4.42,-0.14,0.6
X5CrNi1810,0.5,0.2,4,45,-4.15,-0.173,0.6
X5CrNi1810,0.5,0.2,4,47.51,-3.77,-0.214,0.6
X5CrNi1810,0.5,0.2,4,53.34,-3.108,-0.31,0.6
X5CrNi1810,0.5,0.2,4,58.67,-2.616,-0.397,0.6
X5CrNi1810,0.5,0.2,4,60,-2.487,-0.419,0.6
X5CrNi1810,0.5,0.2,4,64.01,-2.257,-0.486,0.6
X5CrNi1810,0.5,0.2,4,71.47,-1.832,-0.621,0.7
X5CrNi1810,0.5,0.2,4,75,-1.662,-0.692,0.7
X5CrNi1810,0.5,0.2,4,75.31,-1.653,-0.698,0.7
X5CrNi1810,0.5,0.2,4,85.72,-1.259,-0.959,0.8
X5CrNi1810,0.5,0.2,4,90,-1.169,-1.169,0.8
X5CrNi1810,0.5,0.2,4,91.87,-1.08,0,0.8
X5CrNi1810,0.5,0.2,4,105,-0.789,0,1
X5CrNi1810,0.5,0.2,4,106.01,-0.745,0,1
X5CrNi1810,0.5,0.2,4,111.32,-0.645,0,1
X5CrNi1810,0.5,0.2,4,120,-0.482,0,1.2
X5CrNi1810,0.5,0.2,4,121.52,-0.485,0,1.2
X5CrNi1810,0.5,0.2,4,133.39,-0.338,0,1.5
X5CrNi1810,0.5,0.2,4,135,-0.284,0,1.5
X5CrNi1810,0.5,0.2,4,145.86,-0.217,0,2
X5CrNi1810,0.5,0.2,4,150,-0.202,0,2.4
X5CrNi1810,0.5,0.2,4,157.98,-0.123,0,3.1
X5CrNi1810,0.5,0.2,4,169.66,-0.052,0,6.2
X5CrNi1810,0.5,0.3,4,30,-7.542,0.084,0.6
X5CrNi1810,0.5,0.3,4,31.79,-7.064,0.053,0.6
X5CrNi1810,0.5,0.3,4,34.8,-6.184,0.001,0.6
X5CrNi1810,0.5,0.3,4,38.6,-5.268,-0.065,0.6
X5CrNi1810,0.5,0.3,4,43.02,-4.42,-0.14,0.6
X5CrNi1810,0.5,0.3,4,45,-4.15,-0.173,0.6
X5CrNi1810,0.5,0.3,4,47.51,-3.77,-0.214,0.6
X5CrNi1810,0.5,0.3,4,53.34,-3.108,-0.31,0.6
X5CrNi1810,0.5,0.3,4,58.67,-2.616,-0.397,0.6
X5CrNi1810,0.5,0.3,4,60,-2.487,-0.419,0.6
X5CrNi1810,0.5,0.3,4,64.01,-2.257,-0.486,0.6
X5CrNi1810,0.5,0.3,4,71.47,-1.832,-0.621,0.7
X5CrNi1810,0.5,0.3,4,75,-1.662,-0.692,0.7
X5CrNi1810,0.5,0.3,4,75.31,-1.653,-0.698,0.7
X5CrNi1810,0.5,0.3,4,85.72,-1.259,-0.959,0.8
X5CrNi1810,0.5,0.3,4,90,-1.169,-1.169,0.8
X5CrNi1810,0.5,0.3,4,91.87,-1.08,0,0.8
X5CrNi1810,0.5,0.3,4,105,-0.789,0,1
X5CrNi1810,0.5,0.3,4,106.01,-0.745,0,1
X5CrNi1810,0.5,0.3,4,111.32,-0.645,0,1
X5CrNi1810,0.5,0.3,4,120,-0.482,0,1.2
X5CrNi1810,0.5,0.3,4,121.52,-0.485,0,1.2
X5CrNi1810,0.5,0.3,4,133.39,-0.338,0,1.5
X5CrNi1810,0.5,0.3,4,135,-0.284,0,1.5
X5CrNi1810,0.5,0.3,4,145.86,-0.217,0,2
X5CrNi1810,0.5,0.3,4,150,-0.202,0,2.4
X5CrNi1810,0.5,0.3,4,157.98,-0.123,0,3.1
X5CrNi1810,0.5,0.3,4,169.66,-0.052,0,6.2
X5CrNi1810,0.5,0.5,4,30,-7.542,0.084,0.6
X5CrNi1810,0.5,0.5,4,31.79,-7.064,0.053,0.6
X5CrNi1810,0.5,0.5,4,34.8,-6.184,0.001,0.6
X5CrNi1810,0.5,0.5,4,38.6,-5.268,-0.065,0.6
X5CrNi1810,0.5,0.5,4,43.02,-4.42,-0.14,0.6
X5CrNi1810,0.5,0.5,4,45,-4.15,-0.173,0.6
X5CrNi1810,0.5,0.5,4,47.51,-3.77,-0.214,0.6
X5CrNi1810,0.5,0.5,4,53.34,-3.108,-0.31,0.6
X5CrNi1810,0.5,0.5,4,58.67,-2.616,-0.397,0.6
X5CrNi1810,0.5,0.5,4,60,-2.487,-0.419,0.6
X5CrNi1810,0.5,0.5,4,64.01,-2.257,-0.486,0.6
X5CrNi1810,0.5,0.5,4,71.47,-1.832,-0.621,0.7
X5CrNi1810,0.5,0.5,4,75,-1.662,-0.692,0.7
X5CrNi1810,0.5,0.5,4,75.31,-1.653,-0.698,0.7
X5CrNi1810,0.5,0.5,4,85.72,-1.259,-0.959,0.8
