technology,airbending,source,DataManager@27.03.2019 13:31:43
@data
material,sheetThicknessMM,punchRadiusMM,dieWidthMM,angleDEG,bendDeductionTanMM,bendDeductionEdgeMM,radiusMM
St37,0.5,0.2,5,90.87,-1.122,0,0.8
St37,0.5,0.2,5,100.93,-0.861,0,0.9
St37,0.5,0.2,5,105,-0.796,0,0.9
St37,0.5,0.2,5,115.05,-0.599,0,1.1
St37,0.5,0.2,5,120,-0.495,0,1.2
St37,0.5,0.2,5,124.57,-0.453,0,1.3
St37,0.5,0.2,5,135,-0.304,0,1.8
St37,0.5,0.2,5,137.6,-0.301,0,1.8
St37,0.5,0.2,5,150,-0.217,0,2.6
St37,0.5,0.2,5,151.89,-0.171,0,2.7
St37,0.5,0.2,5,166.39,-0.071,0,5.6
St37,0.5,0.3,5,30,-7.988,0.095,0.6
St37,0.5,0.3,5,31.29,-7.579,0.075,0.6
St37,0.5,0.3,5,33.65,-6.879,0.038,0.6
St37,0.5,0.3,5,36.14,-6.223,-0.003,0.6
St37,0.5,0.3,5,40.12,-5.244,-0.075,0.6
St37,0.5,0.3,5,44.4,-4.422,-0.149,0.6
St37,0.5,0.3,5,45,-4.363,-0.159,0.6
St37,0.5,0.3,5,49.52,-3.679,-0.235,0.6
St37,0.5,0.3,5,54.75,-3.066,-0.324,0.6
St37,0.5,0.3,5,60,-2.58,-0.41,0.6
St37,0.5,0.3,5,60.66,-2.575,-0.421,0.6
St37,0.5,0.3,5,67.5,-2.091,-0.538,0.6
St37,0.5,0.3,5,73.65,-1.768,-0.655,0.7
St37,0.5,0.3,5,75,-1.696,-0.683,0.7
St37,0.5,0.3,5,82.79,-1.39,-0.87,0.7
St37,0.5,0.3,5,90,-1.181,-1.181,0.8
St37,0.5,0.3,5,90.87,-1.122,0,0.8
St37,0.5,0.3,5,100.93,-0.861,0,0.9
St37,0.5,0.3,5,105,-0.796,0,0.9
St37,0.5,0.3,5,115.05,-0.599,0,1.1
St37,0.5,0.3,5,120,-0.495,0,1.2
St37,0.5,0.3,5,124.57,-0.453,0,1.3
St37,0.5,0.3,5,135,-0.304,0,1.8
St37,0.5,0.3,5,137.6,-0.301,0,1.8
St37,0.5,0.3,5,150,-0.217,0,2.6
St37,0.5,0.3,5,151.89,-0.171,0,2.7
St37,0.5,0.3,5,166.39,-0.071,0,5.6
St37,0.5,0.5,5,30,-7.988,0.095,0.6
St37,0.5,0.5,5,31.29,-7.579,0.075,0.6
St37,0.5,0.5,5,33.65,-6.879,0.038,0.6
St37,0.5,0.5,5,36.14,-6.223,-0.003,0.6
St37,0.5,0.5,5,40.12,-5.244,-0.075,0.6
St37,0.5,0.5,5,44.4,-4.422,-0.149,0.6
St37,0.5,0.5,5,45,-4.363,-0.159,0.6
St37,0.5,0.5,5,49.52,-3.679,-0.235,0.6
